start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw,dollar_year
PJMD,PJMW,455623.5137,22069.95887,0.01974931,122896,146390,265.1431816,225463.1402,301444.634,0.031277807,0.047772657,90.456758,138.1545781,982531.288,0.098799773,493.7545178,47592.85784,2018
PJMD,PJME,69527.87252,3367.862371,0.002710403,146246,146294,7.889087297,225463.1402,173983.1097,0.031277807,0.014143618,90.456758,40.91848866,468974.1224,0.048131828,139.264334,22716.64935,2018
PJMW,PJME,513464.3656,24871.71336,0.022637736,123096,146390,303.9139969,301444.634,173983.1097,0.047772657,0.014143618,138.1545781,40.91848866,988892.1093,0.08455401,482.9870637,47900.96983,2018
PJMW,SRCE,283681.5239,13741.25649,0.040976337,125223,113368,118.4858044,301444.634,390900.1646,0.047772657,0.021327434,138.1545781,286.299842,976026.3225,0.110076428,542.9402245,47277.76366,2018
PJME,NYUP,153480.0904,7434.425969,0.00515836,132256,136005,14.96751442,173983.1097,524520.9813,0.014143618,0.063235691,40.91848866,260.7303572,851984.1814,0.082537669,316.6163603,41269.28326,2018
PJME,NYCW,19834.75619,960.7762553,0.000381646,129920,132612,1.103553391,173983.1097,924580.5651,0.014143618,0.013469156,40.91848866,38.99873734,1118398.431,0.027994419,81.02077939,54174.12981,2018
NYUP,NYCW,297346.1002,14403.15525,0.006657818,129505,134793,19.30330086,524520.9813,924580.5651,0.063235691,0.013469156,260.7303572,38.99873734,1746447.647,0.083362665,319.0323955,84596.22161,2018
NYUP,ISNE,481102.5582,23304.13895,0.044998453,140763,139286,130.1677849,524520.9813,138974.1919,0.063235691,0.010886533,260.7303572,31.51519909,1144597.732,0.119120677,422.4133412,55443.19839,2018
NYCW,ISNE,1243680.002,60242.64698,0.047793294,129505,136447,138.2492604,924580.5651,138974.1919,0.013469156,0.010886533,38.99873734,31.51519909,2307234.759,0.072148982,208.7631968,111760.2027,2018
RMRG,BASN,730080.4066,35364.38323,0.047002366,201924,203837,824.6029035,,805461.7588,,0.048746394,,654.3658364,1535542.165,0.095748759,1478.96874,74380.16569,2018
