timepoint_id,timestamp,timeseries
1,2020010300,2020_2020-01-03
2,2020012300,2020_2020-01-23
3,2020021300,2020_2020-02-13
4,2020021600,2020_2020-02-16
5,2020030600,2020_2020-03-06
6,2020033100,2020_2020-03-31
7,2020040300,2020_2020-04-03
8,2020041000,2020_2020-04-10
9,2020053000,2020_2020-05-30
10,2020051600,2020_2020-05-16
11,2020063000,2020_2020-06-30
12,2020061300,2020_2020-06-13
13,2020071800,2020_2020-07-18
14,2020071000,2020_2020-07-10
15,2020080300,2020_2020-08-03
16,2020082500,2020_2020-08-25
17,2020090600,2020_2020-09-06
18,2020091200,2020_2020-09-12
19,2020100500,2020_2020-10-05
20,2020102700,2020_2020-10-27
21,2020113000,2020_2020-11-30
22,2020112200,2020_2020-11-22
23,2020122800,2020_2020-12-28
24,2020120700,2020_2020-12-07
25,2030010300,2030_2030-01-03
26,2030012300,2030_2030-01-23
27,2030021300,2030_2030-02-13
28,2030021600,2030_2030-02-16
29,2030030600,2030_2030-03-06
30,2030033100,2030_2030-03-31
31,2030040300,2030_2030-04-03
32,2030041000,2030_2030-04-10
33,2030053000,2030_2030-05-30
34,2030051600,2030_2030-05-16
35,2030063000,2030_2030-06-30
36,2030061300,2030_2030-06-13
37,2030071800,2030_2030-07-18
38,2030071000,2030_2030-07-10
39,2030080300,2030_2030-08-03
40,2030082500,2030_2030-08-25
41,2030090600,2030_2030-09-06
42,2030091200,2030_2030-09-12
43,2030100500,2030_2030-10-05
44,2030102700,2030_2030-10-27
45,2030113000,2030_2030-11-30
46,2030112200,2030_2030-11-22
47,2030122800,2030_2030-12-28
48,2030120700,2030_2030-12-07
49,2040010300,2040_2040-01-03
50,2040012300,2040_2040-01-23
51,2040021300,2040_2040-02-13
52,2040021600,2040_2040-02-16
53,2040030600,2040_2040-03-06
54,2040033100,2040_2040-03-31
55,2040040300,2040_2040-04-03
56,2040041000,2040_2040-04-10
57,2040053000,2040_2040-05-30
58,2040051600,2040_2040-05-16
59,2040063000,2040_2040-06-30
60,2040061300,2040_2040-06-13
61,2040071800,2040_2040-07-18
62,2040071000,2040_2040-07-10
63,2040080300,2040_2040-08-03
64,2040082500,2040_2040-08-25
65,2040090600,2040_2040-09-06
66,2040091200,2040_2040-09-12
67,2040100500,2040_2040-10-05
68,2040102700,2040_2040-10-27
69,2040113000,2040_2040-11-30
70,2040112200,2040_2040-11-22
71,2040122800,2040_2040-12-28
72,2040120700,2040_2040-12-07
73,2050010300,2050_2050-01-03
74,2050012300,2050_2050-01-23
75,2050021300,2050_2050-02-13
76,2050021600,2050_2050-02-16
77,2050030600,2050_2050-03-06
78,2050033100,2050_2050-03-31
79,2050040300,2050_2050-04-03
80,2050041000,2050_2050-04-10
81,2050053000,2050_2050-05-30
82,2050051600,2050_2050-05-16
83,2050063000,2050_2050-06-30
84,2050061300,2050_2050-06-13
85,2050071800,2050_2050-07-18
86,2050071000,2050_2050-07-10
87,2050080300,2050_2050-08-03
88,2050082500,2050_2050-08-25
89,2050090600,2050_2050-09-06
90,2050091200,2050_2050-09-12
91,2050100500,2050_2050-10-05
92,2050102700,2050_2050-10-27
93,2050113000,2050_2050-11-30
94,2050112200,2050_2050-11-22
95,2050122800,2050_2050-12-28
96,2050120700,2050_2050-12-07
97,2020010304,2020_2020-01-03
98,2020012304,2020_2020-01-23
99,2020021304,2020_2020-02-13
100,2020021604,2020_2020-02-16
101,2020030604,2020_2020-03-06
102,2020033104,2020_2020-03-31
103,2020040304,2020_2020-04-03
104,2020041004,2020_2020-04-10
105,2020053004,2020_2020-05-30
106,2020051604,2020_2020-05-16
107,2020063004,2020_2020-06-30
108,2020061304,2020_2020-06-13
109,2020071804,2020_2020-07-18
110,2020071004,2020_2020-07-10
111,2020080304,2020_2020-08-03
112,2020082504,2020_2020-08-25
113,2020090604,2020_2020-09-06
114,2020091204,2020_2020-09-12
115,2020100504,2020_2020-10-05
116,2020102704,2020_2020-10-27
117,2020113004,2020_2020-11-30
118,2020112204,2020_2020-11-22
119,2020122804,2020_2020-12-28
120,2020120704,2020_2020-12-07
121,2030010304,2030_2030-01-03
122,2030012304,2030_2030-01-23
123,2030021304,2030_2030-02-13
124,2030021604,2030_2030-02-16
125,2030030604,2030_2030-03-06
126,2030033104,2030_2030-03-31
127,2030040304,2030_2030-04-03
128,2030041004,2030_2030-04-10
129,2030053004,2030_2030-05-30
130,2030051604,2030_2030-05-16
131,2030063004,2030_2030-06-30
132,2030061304,2030_2030-06-13
133,2030071804,2030_2030-07-18
134,2030071004,2030_2030-07-10
135,2030080304,2030_2030-08-03
136,2030082504,2030_2030-08-25
137,2030090604,2030_2030-09-06
138,2030091204,2030_2030-09-12
139,2030100504,2030_2030-10-05
140,2030102704,2030_2030-10-27
141,2030113004,2030_2030-11-30
142,2030112204,2030_2030-11-22
143,2030122804,2030_2030-12-28
144,2030120704,2030_2030-12-07
145,2040010304,2040_2040-01-03
146,2040012304,2040_2040-01-23
147,2040021304,2040_2040-02-13
148,2040021604,2040_2040-02-16
149,2040030604,2040_2040-03-06
150,2040033104,2040_2040-03-31
151,2040040304,2040_2040-04-03
152,2040041004,2040_2040-04-10
153,2040053004,2040_2040-05-30
154,2040051604,2040_2040-05-16
155,2040063004,2040_2040-06-30
156,2040061304,2040_2040-06-13
157,2040071804,2040_2040-07-18
158,2040071004,2040_2040-07-10
159,2040080304,2040_2040-08-03
160,2040082504,2040_2040-08-25
161,2040090604,2040_2040-09-06
162,2040091204,2040_2040-09-12
163,2040100504,2040_2040-10-05
