load_zone,fuel,period,fuel_cost
MIS_D_MS,Uranium,2020,0.6503810014198712
S_C_TVA,Coal,2050,1.9395225346460296
S_C_TVA,Coal,2040,1.947728772222157
S_C_TVA,Coal,2030,1.960962876353865
S_C_TVA,Coal,2020,2.006741006895958
S_C_TVA,Naturalgas,2050,3.7675326650942473
S_C_TVA,Naturalgas,2040,3.553173352108489
S_C_TVA,Naturalgas,2030,3.442830665149008
S_C_TVA,Naturalgas,2020,2.4181459001709324
S_C_TVA,Distillate,2050,21.639909850463706
S_C_TVA,Distillate,2040,19.198295779110293
S_C_TVA,Distillate,2030,16.94779432880774
S_C_TVA,Distillate,2020,19.55437592336607
S_C_TVA,Uranium,2050,0.7002569774346096
S_C_TVA,Uranium,2040,0.6813037230351604
S_C_TVA,Uranium,2030,0.6643466582178466
S_C_TVA,Uranium,2020,0.6503810014198712
S_C_KY,Coal,2050,1.9395225346460296
S_C_KY,Coal,2040,1.947728772222157
S_C_KY,Coal,2030,1.960962876353865
S_C_KY,Coal,2020,2.006741006895958
S_C_KY,Naturalgas,2050,3.7675326650942473
S_C_KY,Naturalgas,2040,3.553173352108489
S_C_KY,Naturalgas,2030,3.442830665149008
S_C_KY,Naturalgas,2020,2.4181459001709324
S_C_KY,Distillate,2050,21.639909850463706
S_C_KY,Distillate,2040,19.198295779110293
S_C_KY,Distillate,2030,16.94779432880774
S_C_KY,Distillate,2020,19.55437592336607
S_C_KY,Uranium,2050,0.7002569774346096
S_C_KY,Uranium,2040,0.6813037230351604
S_C_KY,Uranium,2030,0.6643466582178466
S_C_KY,Uranium,2020,0.6503810014198712
FRCC,Coal,2050,2.3992492140641564
FRCC,Coal,2040,2.39968162592849
FRCC,Coal,2030,2.4320051318759117
FRCC,Coal,2020,2.4266464846258855
FRCC,Naturalgas,2050,4.227987062040155
FRCC,Naturalgas,2040,4.0459828948943315
FRCC,Naturalgas,2030,3.923494324348639
FRCC,Naturalgas,2020,3.0275829631107305
FRCC,Distillate,2050,24.080393514748273
FRCC,Distillate,2040,21.64999147075965
FRCC,Distillate,2030,19.488914903327505
FRCC,Distillate,2020,20.686870266333408
FRCC,Uranium,2050,0.7002569774346096
FRCC,Uranium,2040,0.6813037230351604
FRCC,Uranium,2030,0.6643466582178466
FRCC,Uranium,2020,0.6503810014198712
S_SOU,Coal,2050,2.3992492140641564
S_SOU,Coal,2040,2.39968162592849
S_SOU,Coal,2030,2.4320051318759117
S_SOU,Coal,2020,2.4266464846258855
S_SOU,Naturalgas,2050,4.227987062040155
S_SOU,Naturalgas,2040,4.0459828948943315
S_SOU,Naturalgas,2030,3.923494324348639
S_SOU,Naturalgas,2020,3.0275829631107305
S_SOU,Distillate,2050,24.080393514748273
S_SOU,Distillate,2040,21.64999147075965
S_SOU,Distillate,2030,19.488914903327505
S_SOU,Distillate,2020,20.686870266333408
S_SOU,Uranium,2050,0.7002569774346096
S_SOU,Uranium,2040,0.6813037230351604
S_SOU,Uranium,2030,0.6643466582178466
S_SOU,Uranium,2020,0.6503810014198712
S_VACA,Coal,2050,2.3992492140641564
S_VACA,Coal,2040,2.39968162592849
S_VACA,Coal,2030,2.4320051318759117
S_VACA,Coal,2020,2.4266464846258855
S_VACA,Naturalgas,2050,4.227987062040155
S_VACA,Naturalgas,2040,4.0459828948943315
S_VACA,Naturalgas,2030,3.923494324348639
S_VACA,Naturalgas,2020,3.0275829631107305
S_VACA,Distillate,2050,24.080393514748273
S_VACA,Distillate,2040,21.64999147075965
S_VACA,Distillate,2030,19.488914903327505
S_VACA,Distillate,2020,20.686870266333408
S_VACA,Uranium,2050,0.7002569774346096
S_VACA,Uranium,2040,0.6813037230351604
S_VACA,Uranium,2030,0.6643466582178466
S_VACA,Uranium,2020,0.6503810014198712
PJM_Dom,Coal,2050,2.3992492140641564
PJM_Dom,Coal,2040,2.39968162592849
PJM_Dom,Coal,2030,2.4320051318759117
PJM_Dom,Coal,2020,2.4266464846258855
PJM_Dom,Naturalgas,2050,4.227987062040155
PJM_Dom,Naturalgas,2040,4.0459828948943315
PJM_Dom,Naturalgas,2030,3.923494324348639
PJM_Dom,Naturalgas,2020,3.0275829631107305
PJM_Dom,Distillate,2050,24.080393514748273
PJM_Dom,Distillate,2040,21.64999147075965
PJM_Dom,Distillate,2030,19.488914903327505
PJM_Dom,Distillate,2020,20.686870266333408
PJM_Dom,Uranium,2050,0.7002569774346096
PJM_Dom,Uranium,2040,0.6813037230351604
PJM_Dom,Uranium,2030,0.6643466582178466
PJM_Dom,Uranium,2020,0.6503810014198712
PJM_SMAC,Coal,2050,2.3992492140641564
PJM_SMAC,Coal,2040,2.39968162592849
PJM_SMAC,Coal,2030,2.4320051318759117
PJM_SMAC,Coal,2020,2.4266464846258855
PJM_SMAC,Naturalgas,2050,4.227987062040155
PJM_SMAC,Naturalgas,2040,4.0459828948943315
PJM_SMAC,Naturalgas,2030,3.923494324348639
PJM_SMAC,Naturalgas,2020,3.0275829631107305
PJM_SMAC,Distillate,2050,24.080393514748273
PJM_SMAC,Distillate,2040,21.64999147075965
PJM_SMAC,Distillate,2030,19.488914903327505
PJM_SMAC,Distillate,2020,20.686870266333408
PJM_SMAC,Uranium,2050,0.7002569774346096
PJM_SMAC,Uranium,2040,0.6813037230351604
PJM_SMAC,Uranium,2030,0.6643466582178466
PJM_SMAC,Uranium,2020,0.6503810014198712
PJM_AP,Coal,2050,2.3992492140641564
PJM_AP,Coal,2040,2.39968162592849
PJM_AP,Coal,2030,2.4320051318759117
PJM_AP,Coal,2020,2.4266464846258855
PJM_AP,Naturalgas,2050,4.227987062040155
PJM_AP,Naturalgas,2040,4.0459828948943315
PJM_AP,Naturalgas,2030,3.923494324348639
PJM_AP,Naturalgas,2020,3.0275829631107305
PJM_AP,Distillate,2050,24.080393514748273
PJM_AP,Distillate,2040,21.64999147075965
PJM_AP,Distillate,2030,19.488914903327505
PJM_AP,Distillate,2020,20.686870266333408
PJM_AP,Uranium,2050,0.7002569774346096
PJM_AP,Uranium,2040,0.6813037230351604
PJM_AP,Uranium,2030,0.6643466582178466
PJM_AP,Uranium,2020,0.6503810014198712
MIS_MAPP,Coal,2050,1.745671624715928
MIS_MAPP,Coal,2040,1.7040105153389111
MIS_MAPP,Coal,2030,1.6345302701666686
MIS_MAPP,Coal,2020,1.6608498668137388
MIS_MAPP,Naturalgas,2050,4.212608156709967
MIS_MAPP,Naturalgas,2040,3.855692911048788
MIS_MAPP,Naturalgas,2030,3.5944720408985478
MIS_MAPP,Naturalgas,2020,2.436093389502341
MIS_MAPP,Distillate,2050,20.30435547127597
MIS_MAPP,Distillate,2040,17.842118901496928
MIS_MAPP,Distillate,2030,15.606435467520937
